FID	IID	phe_gcf
LBC361276	LBC361276	0.391813705
LBC361273	LBC361273	0.392122374
LBC360617	LBC360617	0.39339898
LBC360183	LBC360183	0.398699609
LBC360137	LBC360137	0.400218516
LBC361296	LBC361296	0.40361623
LBC360951	LBC360951	0.407060495
LBC360746	LBC360746	0.410992924
LBC360204	LBC360204	0.413686529
LBC361116	LBC361116	0.422094794
LBC361253	LBC361253	0.425653012
LBC360418	LBC360418	0.435307944
LBC360629	LBC360629	0.435604442
LBC360574	LBC360574	0.436684004
LBC360325	LBC360325	0.438553957
LBC361010	LBC361010	0.442752275
LBC361051	LBC361051	0.446069774
LBC360263	LBC360263	0.449179957
LBC360884	LBC360884	0.451543972
LBC360373	LBC360373	0.451695109
LBC360765	LBC360765	0.451830245
LBC360235	LBC360235	0.454887533
LBC361061	LBC361061	0.455087555
LBC360963	LBC360963	0.455829677
LBC360767	LBC360767	0.456079456
LBC360598	LBC360598	0.457618446
LBC360813	LBC360813	0.462378119
LBC361118	LBC361118	0.470693409
LBC360926	LBC360926	0.470838815
LBC361264	LBC361264	0.471665754
LBC361238	LBC361238	0.48143315
LBC361148	LBC361148	0.482039996
LBC360622	LBC360622	0.486599951
LBC361221	LBC361221	0.487170437
LBC360703	LBC360703	0.489090836
LBC360229	LBC360229	0.492658438
LBC360352	LBC360352	0.50023208
LBC360218	LBC360218	0.501121512
LBC360009	LBC360009	0.50839661
LBC360150	LBC360150	0.510596445
LBC360674	LBC360674	0.515849264
LBC360148	LBC360148	0.516176601
LBC360953	LBC360953	0.518221665
LBC360250	LBC360250	0.523954297
LBC360198	LBC360198	0.525506289
LBC360554	LBC360554	0.525655076
LBC360730	LBC360730	0.526757983
LBC361233	LBC361233	0.530023037
LBC360497	LBC360497	0.534051237
LBC361067	LBC361067	0.53658113
LBC360571	LBC360571	0.540107953
LBC360547	LBC360547	0.54087168
LBC360934	LBC360934	0.548384346
LBC361225	LBC361225	0.550372456
LBC360436	LBC360436	0.552465866
LBC360870	LBC360870	0.553295111
LBC360438	LBC360438	0.554375517
LBC360026	LBC360026	0.555864059
LBC360364	LBC360364	0.562129764
LBC360391	LBC360391	0.568248664
LBC360264	LBC360264	0.568905504
LBC360954	LBC360954	0.56971534
LBC360994	LBC360994	0.572344105
LBC360393	LBC360393	0.57297355
LBC360835	LBC360835	0.579086846
LBC360213	LBC360213	0.580575278
LBC361035	LBC361035	0.585115189
LBC360671	LBC360671	0.586853811
LBC360642	LBC360642	0.589883053
LBC360015	LBC360015	0.595254004
LBC360648	LBC360648	0.601984809
LBC360702	LBC360702	0.602746654
LBC360869	LBC360869	0.604267698
LBC360109	LBC360109	0.611146548
LBC360885	LBC360885	0.617450886
LBC361049	LBC361049	0.617970191
LBC360135	LBC360135	0.619852956
LBC360501	LBC360501	0.624303113
LBC360695	LBC360695	0.624553257
LBC360369	LBC360369	0.625381095
LBC360085	LBC360085	0.627089289
LBC361254	LBC361254	0.630111601
LBC360739	LBC360739	0.632683012
LBC361037	LBC361037	0.634418764
LBC360484	LBC360484	0.635445166
LBC361083	LBC361083	0.647983022
LBC360771	LBC360771	0.648215755
LBC360742	LBC360742	0.649927255
LBC360163	LBC360163	0.653485638
LBC360424	LBC360424	0.653796237
LBC360681	LBC360681	0.658939945
LBC360283	LBC360283	0.660011025
LBC361219	LBC361219	0.662353742
LBC361097	LBC361097	0.666888829
LBC360010	LBC360010	0.668996798
LBC361235	LBC361235	0.669948679
LBC360536	LBC360536	0.670700093
LBC360601	LBC360601	0.671634443
LBC361290	LBC361290	0.678868149
LBC361306	LBC361306	0.67935053
LBC360561	LBC360561	0.680654223
LBC360428	LBC360428	0.683009387
LBC360473	LBC360473	0.685306511
LBC360641	LBC360641	0.687224186
LBC361012	LBC361012	0.687730867
LBC360477	LBC360477	0.689061247
LBC360172	LBC360172	0.689695705
LBC361024	LBC361024	0.691767515
LBC360503	LBC360503	0.692410265
LBC361055	LBC361055	0.694085108
LBC361232	LBC361232	0.707874334
LBC360717	LBC360717	0.708224161
LBC360145	LBC360145	0.718140042
LBC360245	LBC360245	0.72016641
